advice_box_id,advice_res_sec_id,resume_type_id,advice_fld_id,advice_type,advice_box_title,advice_box_content,advice_box_status,rec_crt_date
503,Additional,8,extra,"General Advice","Extra Sections","Here you can create your own sections and add them to your CV. It&#39;s not advisable to add anything unless you are certain it is required.",Y,2010-04-18
504,Additional,7,extra,"General Advice","Extra Sections","Here you can create your own sections and add them to your CV. It&#39;s not advisable to add anything unless you are certain it is required.",Y,2010-04-18
498,Additional,2,extra,"General Advice","Extra Sections","Here you can create your own sections and add them to your CV. It&#39;s not advisable to add anything unless you are certain it is required.",Y,2010-04-18
499,Additional,3,extra,"General Advice","Extra Sections","Here you can create your own sections and add them to your CV. It&#39;s not advisable to add anything unless you are certain it is required.",Y,2010-04-18
500,Additional,4,extra,"General Advice","Extra Sections","Here you can create your own sections and add them to your CV. It&#39;s not advisable to add anything unless you are certain it is required.",Y,2010-04-18
501,Additional,5,extra,"General Advice","Extra Sections","Here you can create your own sections and add them to your CV. It&#39;s not advisable to add anything unless you are certain it is required.",Y,2010-04-18
502,Additional,6,extra,"General Advice","Extra Sections","Here you can create your own sections and add them to your CV. It&#39;s not advisable to add anything unless you are certain it is required.",Y,2010-04-18
491,Additional,2,prof,"General Advice","Professional Memberships","Include memberships in professional organizations relevant to the position you are applying for or those that you hold a leadership position in e.g. Toastmasters International, Vice-President, 2007 &#45; Present. <br /><br />

If you are early in your career and have not pursued professional membership, now is a great time to get involved &#45; it will help you round out your CV and your career contacts.",Y,2010-04-18
492,Additional,3,prof,"General Advice","Professional Memberships","Include memberships in professional organizations relevant to the position you are applying for or those that you hold a leadership position in e.g. Toastmasters International, Vice-President, 2007 &#45; Present. <br /><br />

If you are early in your career and have not pursued professional membership, now is a great time to get involved &#45; it will help you round out your CV and your career contacts.",Y,2010-04-18
493,Additional,4,prof,"General Advice","Professional Memberships","Include memberships in professional organizations relevant to the position you are applying for or those that you hold a leadership position in e.g. Toastmasters International, Vice-President, 2007 &#45; Present. <br /><br />

If you are early in your career and have not pursued professional membership, now is a great time to get involved &#45; it will help you round out your CV and your career contacts.",Y,2010-04-18
494,Additional,5,prof,"General Advice","Professional Memberships","Include memberships in professional organizations relevant to the position you are applying for or those that you hold a leadership position in e.g. Toastmasters International, Vice-President, 2007 &#45; Present. <br /><br />

If you are early in your career and have not pursued professional membership, now is a great time to get involved &#45; it will help you round out your CV and your career contacts.",Y,2010-04-18
495,Additional,6,prof,"General Advice","Professional Memberships","Include memberships in professional organizations relevant to the position you are applying for or those that you hold a leadership position in e.g. Toastmasters International, Vice-President, 2007 &#45; Present. <br /><br />

If you are early in your career and have not pursued professional membership, now is a great time to get involved &#45; it will help you round out your CV and your career contacts.",Y,2010-04-18
496,Additional,7,prof,"General Advice","Professional Memberships","Include memberships in professional organizations relevant to the position you are applying for or those that you hold a leadership position in e.g. Toastmasters International, Vice-President, 2007 &#45; Present. <br /><br />

If you are early in your career and have not pursued professional membership, now is a great time to get involved &#45; it will help you round out your CV and your career contacts.",Y,2010-04-18
497,Additional,8,prof,"General Advice","Professional Memberships","Include memberships in professional organizations relevant to the position you are applying for or those that you hold a leadership position in e.g. Toastmasters International, Vice-President, 2007 &#45; Present. <br /><br />

If you are early in your career and have not pursued professional membership, now is a great time to get involved &#45; it will help you round out your CV and your career contacts.",Y,2010-04-18
484,Additional,2,int,"General Advice","Hobbies and Interests","It is not always recommended to include a hobbies and interests section. If you feel it will be of benefit, because your interests are related to the position you are applying for, then include it.",Y,2010-04-18
485,Additional,3,int,"General Advice","Hobbies and Interests","It is not always recommended to include a hobbies and interests section. If you feel it will be of benefit, because your interests are related to the position you are applying for, then include it.",Y,2010-04-18
486,Additional,4,int,"General Advice","Hobbies and Interests","It is not always recommended to include a hobbies and interests section. If you feel it will be of benefit, because your interests are related to the position you are applying for, then include it.",Y,2010-04-18
487,Additional,5,int,"General Advice","Hobbies and Interests","It is not always recommended to include a hobbies and interests section. If you feel it will be of benefit, because your interests are related to the position you are applying for, then include it.",Y,2010-04-18
488,Additional,6,int,"General Advice","Hobbies and Interests","It is not always recommended to include a hobbies and interests section. If you feel it will be of benefit, because your interests are related to the position you are applying for, then include it.",Y,2010-04-18
489,Additional,7,int,"General Advice","Hobbies and Interests","It is not always recommended to include a hobbies and interests section. If you feel it will be of benefit, because your interests are related to the position you are applying for, then include it.",Y,2010-04-18
