"Institution Name","Address 1","Address 2","Address 3","Address 4","Postcode"
"Anglia Ruskin University","Tindal Building","Bishop Hall Lane","CHELMSFORD",,"CM1 1SQ"
"Aston University","Aston Triangle","BIRMINGHAM",,,"B4 7ET"
"Bath Spa University","Newton Park","Newton St Loe","BATH",,"BA2 9BN"
"Birkbeck College","Malet Street","LONDON",,,"WC1E 7HX"
"Birmingham City University","City North Campus","Perry Barr","BIRMINGHAM",,"B42 2SU"
"Bishop Grosseteste University College, Lincoln","Newport","LINCOLN",,,"LN1 3DY"
"Bournemouth University","Talbot Campus","Fern Barrow","POOLE",,"BH12 5BB"
"Brunel University","Kingston Lane","UXBRIDGE",,,"UB8 3PH"
"Buckinghamshire New University","Queen Alexandra Road","HIGH WYCOMBE",," ","HP11 2JZ"
"Canterbury Christ Church University","North Holmes Road","CANTERBURY",," ","CT1 1QU"
"Central School of Speech and Drama","Embassy Theatre","64 Eton Avenue","LONDON",,"NW3 3HY"
"City University, London","Northampton Square","LONDON",,,"EC1V 0HB"
"Conservatoire for Dance and Drama","Tavistock House","Tavistock Square","LONDON",,"WC1H 9JJ"
"Courtauld Institute of Art","Somerset House","Strand","LONDON",,"WC2R 0RN"
"Coventry University","Priory Street","COVENTRY",,,"CV1 5FB"
"Cranfield University","Cranfield","BEDFORD"," "," ","MK43 0AL"
"De Montfort University","The Gateway","LEICESTER"," "," ","LE1 9BH"
"Edge Hill University","St Helens Road","ORMSKIRK",,,"L39 4QP"
"Goldsmiths College, University of London","New Cross","LONDON"," "," ","SE14 6NW"
"Guildhall School of Music & Drama","Silk Street","Barbican","LONDON",,"EC2Y 8DT"
"Harper Adams University College","NEWPORT",,,,"TF10 8NB"
"Heythrop College","University of London","Kensington Square","LONDON",,"W8 5HQ"
"Imperial College London","Faculty Building","South Kensington Campus","Exhibition Road","LONDON","SW7 2AZ"
"Institute of Cancer Research","Chester Beatty Laboratories","237 Fulham Road","LONDON",,"SW3 6JB"
"Institute of Education","20 Bedford Way","LONDON",,,"WC1H 0AL"
"Keele University","KEELE",,,,"ST5 5BG"
"King's College London","James Clerk Maxwell Building","57 Waterloo Road","LONDON"," ","SE1 8WA"
"Kingston University","River House","53-57 High Street","KINGSTON UPON THAMES",,"KT1 1LQ"
"Lancaster University","University House Bailrigg","LANCASTER",,,"LA14 4YW"
"Leeds College of Music","3 Quarry Hill","LEEDS",," ","LS2 7PD"
"Leeds Metropolitan University","Headingley Campus","Beckett Park","LEEDS",,"LS6 3QS"
"Leeds Trinity University College","Brownberrie Lane","Horsforth","LEEDS"," ","LS18 5HD"
"Liverpool Hope University","Hope Park","LIVERPOOL"," "," ","L16 9JD"
"Liverpool Institute for Performing Arts","Mount Street","LIVERPOOL",,,"L1 9HF"
