"College","County"
"Belfast Metropolitan College","County Antrim"
"Belfast Institute of Further and Higher Education","County Antrim"
"Castlereagh College of Further and Higher Education","County Down"
"North West Regional College","County Londonderry"
"North West Institute of Further and Higher Education","County Londonderry"
"Limavady College of Further and Higher Education","County Londonderry"
"Northern Regional College","County Antrim"
"Causeway Institute of Further and Higher Education","County Londonderry"
"North East Institute of Further and Higher Education","County Antrim"
"East Antrim Institute of Further and Higher Education","County Antrim"
"Southern Regional College","County Armagh"
"Armagh College of Further and Higher Education","County Armagh"
"Newry and Kilkeel Institute of Further and Higher Education","County Armagh"
"Upper Bann Institute of Further and Higher Education","County Armagh"
"South West College","County Tyrone"
"East Tyrone College of Further and Higher Education","County Tyrone"
"Fermanagh College","County Fermanagh"
"Omagh College","County Tyrone"
"South Eastern Regional College","County Antrim"
"East Down Institute of Further and Higher Education","County Down"
"Lisburn College of Further and Higher Education","County Antrim"
"North Down and Ards Institute of Further and Higher Education","County Antrim"
