"skill_id","user_id","relation_id","skill_name","skill_rate","skill_summery","skill_desc","rec_create","rec_update","skill_status"
1,1,1,"PHP","Expert","","","0000-00-00 00:00:00","0000-00-00 00:00:00","N"
2,1,1,"MYSQL","Expert","","","0000-00-00 00:00:00","0000-00-00 00:00:00","N"
3,1,1,"ASP.NET","Intermediate","","","0000-00-00 00:00:00","0000-00-00 00:00:00","N"
39732,120566,109515,"Anticipating people\'s needs and reactions","Expert","","","0000-00-00 00:00:00","0000-00-00 00:00:00","N"
39736,120566,109515,"Expressing opinions without offending","Expert","","","0000-00-00 00:00:00","0000-00-00 00:00:00","N"
73397,211856,192948,"Organisation and planning","Intermediate","","","0000-00-00 00:00:00","0000-00-00 00:00:00","N"
73396,211856,192948,"Problem solving","Intermediate","","","0000-00-00 00:00:00","0000-00-00 00:00:00","N"
73395,211856,192948,"Communication","Expert","","","0000-00-00 00:00:00","0000-00-00 00:00:00","N"
36632,103828,94306,"Work with team and under stress","Expert","","","0000-00-00 00:00:00","0000-00-00 00:00:00","N"
59542,174236,158378,"remixing","Intermediate","","","0000-00-00 00:00:00","0000-00-00 00:00:00","N"
59541,174236,158378,"studio engineering","Intermediate","","","0000-00-00 00:00:00","0000-00-00 00:00:00","N"
59540,174236,158378,"working with live event","Intermediate","","","0000-00-00 00:00:00","0000-00-00 00:00:00","N"
59539,174236,158378,"recording new material","Expert","","","0000-00-00 00:00:00","0000-00-00 00:00:00","N"
14266,40887,36921,"SQL","Intermediate","","","0000-00-00 00:00:00","0000-00-00 00:00:00","N"
14267,40887,36921,"Sharepoint 2010","Intermediate","","","0000-00-00 00:00:00","0000-00-00 00:00:00","N"
28224,87335,79277,"Professional","Expert","","","0000-00-00 00:00:00","0000-00-00 00:00:00","N"
28213,87335,79277,"Punctual","Expert","","","0000-00-00 00:00:00","0000-00-00 00:00:00","N"
28212,87335,79277,"Motivated","Intermediate","","","0000-00-00 00:00:00","0000-00-00 00:00:00","N"
