"College","County/Town"
"Bridgend College","Mid Glamorgan"
"Cardiff and Vale College","Barry"
"Coleg Ceredigion","Aberystwyth"
"Coleg Gwent","Newport"
"Coleg Harlech WEA","Gwynedd"
"Coleg Llandrillo Cymru","Conwy"
"Coleg Llandrillo Cymru","Denbighshire"
"Coleg Llandrillo Cymru","Gwynedd"
"Coleg Menai","Gwynedd"
"Coleg Morgannwg","Cardiff"
"Coleg Powys","Powys"
"Coleg Sir Gar","Pwll"
"Deeside College","Clwyd"
"Gower College Swansea","Swansea"
"Merthyr Tydfil College","Merthyr Tydfil"
"Neath Port Talbot College","Port Talbot"
"Pembrokeshire College","Pembrokeshire"
"Saint David's Roman Catholic College","Cardiff"
"Yale College","Wrexham"
"Ystrad Mynach College","Mid Glamorgan"
"WEA South Wales","Newport"
