id,subject,sid,univer,univer_code,course,course_code,qualification
1,"2 Dimensional",1,"York College",Y70,"Creative Digital Communication",E280,"2FT Fdg FdA"
2,21st,3,"Buckinghamshire New University",B94,"Tourism in the 21st Century",N830,"3FT Hon BA"
3,20th,2,"The University of Hull",H72,"20th Century History",V140,"3FT Hon BA"
4,20th,2,"Kingston University",K84,History,V100,"3FT Hon BA"
5,20th,2,"The University of Aberdeen",A20,"European Languages and Twentieth Century Culture",R901,"3FT Ord MA"
6,2d,4,"Middlesex University",M80,"Design, Interior and Applied Arts",WW21,"3FT Hon BA"
7,2d,4,"University of Northampton",N38,"Computing (Graphics & Visualisation)",054G,"2FT HND"
8,2d,4,"University of Northampton",N38,"Computing (Graphics & Visualisation)",G450,"3FT Hon BSc"
9,2d,4,"University of Worcester",W80,"Animation and Creative Digital Media",WW6G,"3FT Hon BA"
10,2d,4,"University of Worcester",W80,"Animation and Digital Film Production",W690,"3FT Hon BA"
11,2d,4,"University of Worcester",W80,"Animation and Fine Art Practice",WW61,"3FT Hon BA"
12,2d,4,"University of Worcester",W80,"Animation and Graphic Design & Multimedia",WWP2,"3FT Hon BA"
13,2d,4,"University of Worcester",W80,"Animation and Screen Writing",WW68,"3FT Hon BA"
14,2d,4,"University of Worcester",W80,"Art & Design and Digital Film Production",WW16,"3FT Hon BA"
15,2d,4,"University of Worcester",W80,"Creative Digital Media and Illustration",W299,"3FT Hon BA"
16,2d,4,"University of Worcester",W80,"Creative Digital Media and Journalism",GP45,"3FT Hon BA"
17,2d,4,"University of Worcester",W80,"Digital Film Production and Drama & Performance",WW64,"3FT Hon BA"
18,2d,4,"University of Worcester",W80,"Digital Film Production and Illustration",WWQ2,"3FT Hon BA"
19,Abroad,5,"University of Bath",B16,"Chemistry (4 years full-time with study abroad)",F107,"4FT Hon BSc"
20,Abroad,5,"University of Bath",B16,"Chemistry (4 years with study year abroad)",F105,"4FT Hon MChem"
21,Abroad,5,"University of Bath",B16,"Chemistry for Drug Discovery (with year abroad)",F153,"4SW Hon BSc"
22,Abroad,5,"University of Bath",B16,"Chemistry with Management (with year abroad)",F1N2,"4FT Hon BSc"
23,Abroad,5,"University of Bath",B16,"Computer Science (French) with study abroad",GR4C,"4SW Hon BSc"
24,Abroad,5,"University of Bath",B16,"Computer Science (German) with study abroad",GR4F,"4SW Hon BSc"
25,Abroad,5,"University of Bath",B16,"Computer Science (Spanish) with year abroad",GR4K,"4SW Hon BSc"
26,Abroad,5,"University of Bath",B16,"Mathematics with a year abroad (4 years)",G104,"4FT Hon MMath"
27,Abroad,5,"University of Bath",B16,"Natural Sciences (4 yrs with study year abroad)",GCF0,"4FT Hon BSc"
28,Abroad,5,"University of Bath",B16,"Natural Sciences with Study Year Abroad",GFCB,"5FT Hon MSci"
29,Abroad,5,"University of Bath",B16,"Physics with Study Abroad (4 years)",F307,"4FT Hon BSc"
30,Abroad,5,"University of Bath",B16,"Physics with Study Year Abroad",F312,"4FT Hon MPhys"
31,Abroad,5,"The University of Birmingham",B32,"American Studies and English with Year Abroad",TQ73,"4FT Hon BA"
32,Abroad,5,"The University of Birmingham",B32,"American Studies and History with Year Abroad",TVR1,"4FT Hon BA"
33,Abroad,5,"The University of Birmingham",B32,"Chemistry with Study Abroad (4 years)",F106,"4FT Hon MSci"
34,Abroad,5,"Canterbury Christ Church University",C10,"English & French: Double degree inc. yr. abroad",QR3D,"3FT Hon BA"
35,Abroad,5,"Cardiff University",C15,"Chemistry with a Year Abroad",F102,"4FT Hon MChem"
36,Abroad,5,"University of East Anglia",E14,"Computing Science with a Year Abroad",G408,"4FT Hon MComp"
37,Abroad,5,"The University of Essex",E70,"American (United States) Studies (4 yrs)",T708,"4FT Hon BA"
38,Abroad,5,"The University of Essex",E70,"American (United States) Studies with Film",T7W6,"4FT Hon BA"
39,Abroad,5,"The University of Essex",E70,"American Studies (3 year)",T700,"3FT Hon BA"
40,Abroad,5,"The University of Essex",E70,"American Studies with Film (term abroad)",T7P3,"3FT Hon BA"
41,Abroad,5,"The University of Essex",E70,"Business Management and Modern Languages",NR19,"4FT Hon BA"
42,Abroad,5,"The University of Essex",E70,"Business Management with a Modern Language",N1R9,"4FT Hon BA"
43,Abroad,5,"The University of Essex",E70,"Criminology & American Studies",MT27,"4FT Hon BA"
44,Abroad,5,"The University of Essex",E70,"Criminology and American Studies (term abroad)",MT2R,"3FT Hon BA"
45,Abroad,5,"The University of Essex",E70,"Drama and Modern Languages",RW94,"4FT Hon BA"
46,Abroad,5,"The University of Essex",E70,"Economics (International Exchange)",L106,"4FT Hon BA"
47,Abroad,5,"The University of Essex",E70,"Economics (International Exchange)",L107,"4FT Hon BSc"
48,Abroad,5,"The University of Essex",E70,"Economics and Politics (International Exchange)",LL1F,"4FT Hon BA"
49,Abroad,5,"The University of Essex",E70,"European Studies (English medium exchange)",R000,"4FT Hon BA"
50,Abroad,5,"The University of Essex",E70,"European Studies with French",R9R1,"4FT Hon BA"
51,Abroad,5,"The University of Essex",E70,"European Studies with German",R9R2,"4FT Hon BA"
52,Abroad,5,"The University of Essex",E70,"European Studies with Italian",R9R3,"4FT Hon BA"
53,Abroad,5,"The University of Essex",E70,"European Studies with Modern Languages",R9T9,"4FT Hon BA"
54,Abroad,5,"The University of Essex",E70,"European Studies with Politics",R9L2,"4FT Hon BA"
55,Abroad,5,"The University of Essex",E70,"European Studies with Spanish",R9R4,"4FT Hon BA"
56,Abroad,5,"The University of Essex",E70,"French Studies and Modern Languages",RR19,"4FT Hon BA"
57,Abroad,5,"The University of Essex",E70,"German Studies and Modern Languages",RR9F,"4FT Hon BA"
58,Abroad,5,"The University of Essex",E70,"History (4 year including year abroad)",V101,"4FT Hon BA"
59,Abroad,5,"The University of Essex",E70,"History of Art and Modern Languages",VR39,"4FT Hon BA"
60,Abroad,5,"The University of Essex",E70,"History of Art with Modern Languages",V3R9,"4FT Hon BA"
61,Abroad,5,"The University of Essex",E70,"Humanities (4 years including a year abroad)",QV00,"4FT Hon BA"
62,Abroad,5,"The University of Essex",E70,"International Relations (International Exchange)",L259,"4SW Hon BA"
63,Abroad,5,"The University of Essex",E70,"Latin American St with Bus Mgt + yr in Latin Am",T7N2,"4FT Hon BA"
64,Abroad,5,"The University of Essex",E70,"Latin American Studies (4 years)",T711,"4FT Hon BA"
65,Abroad,5,"The University of Essex",E70,"Latin American Studies with Human Rights",T7M9,"4FT Hon BA"
66,Abroad,5,"The University of Essex",E70,"Laws (International Exchange) (four-years)",M120,"4FT Hon LLB"
67,Abroad,5,"The University of Essex",E70,"Literature and Modern Languages",QRF9,"3FT Hon BA"
68,Abroad,5,"The University of Essex",E70,"Literature with Modern Languages",Q2R9,"3FT Hon BA"
69,Abroad,5,"The University of Essex",E70,"Mathematics with a Year in the USA",G102,"4FT Hon BSc"
70,Abroad,5,"The University of Essex",E70,"Modern Langs and TEFL",RX91,"3FT Hon BA"
71,Abroad,5,"The University of Essex",E70,"Modern Languages",R900,"4FT Hon BA"
72,Abroad,5,"The University of Essex",E70,"Modern Languages and English Language",RQ93,"4FT Hon BA"
73,Abroad,5,"The University of Essex",E70,"Modern Languages and Linguistics",RQ91,"4FT Hon BA"
74,Abroad,5,"The University of Essex",E70,"Modern Languages with Italian Studies",R9RH,"4FT Hon BA"
75,Abroad,5,"The University of Essex",E70,"Modern Languages with Portuguese Studies",R9R5,"4FT Hon BA"
76,Abroad,5,"The University of Essex",E70,"Philosophy (International Exchange)",V501,"4FT Hon BA"
77,Abroad,5,"The University of Essex",E70,"Philosophy and Modern Languages",VR59,"3FT Hon BA"
78,Abroad,5,"The University of Essex",E70,"Philosophy with Modern languages",V5R9,"3FT Hon BA"
79,Abroad,5,"The University of Essex",E70,"Philosophy, Politics and Econ (Int Exch)",L0VA,"4SW Hon BA"
80,Abroad,5,"The University of Essex",E70,"Politics (International Exchange)",L201,"4SW Hon BA"
81,Abroad,5,"The University of Essex",E70,"Spanish Studies and Modern Languages",RR49,"4FT Hon BA"
82,Abroad,5,"University of Exeter",E84,"Biological & Medicinal Chemistry w Study Abroad",CF7C,"4FT Hon BSc"
83,Abroad,5,"University of Exeter",E84,"Biological Sciences with Study Abroad  (4 years)",C000,"4FT Hon BSc"
84,Abroad,5,"University of Exeter",E84,"Conserv Biology & Ecology w St Abroad (Cornwall)",C150,"4FT Hon BSc"
85,Abroad,5,"University of Exeter",E84,"Evolutionary Biology with St Abroad (Cornwall)",C183,"4FT Hon BSc"
86,Abroad,5,"University of Exeter",E84,"History and Ancient History with Study Abroad",V190,"4FT Hon BA"
87,Abroad,5,"University of Exeter",E84,"Molecular Biology with Study Abroad (4 years)",C790,"4FT Hon BSc"
88,Abroad,5,"University of Exeter",E84,"Physics with Australian Study",F3TV,"4FT Hon MPhys"
89,Abroad,5,"University of Exeter",E84,"Physics with North American Study",F3T7,"4FT Hon MPhys"
90,Abroad,5,"University of Exeter",E84,"Physics with Study in New Zealand",F308,"4FT Hon MPhys"
91,Abroad,5,"University of Exeter",E84,"Zoology with Study Abroad (Cornwall Campus)",C301,"4FT Hon BSc"
92,Abroad,5,"University of Glamorgan, Cardiff and Pontypridd",G14,"International Wildlife Biology",C300,"3FT Hon BSc"
93,Abroad,5,"University of Glamorgan, Cardiff and Pontypridd",G14,"Natural History",CDL0,"3FT Hon BSc"
94,Abroad,5,"The University of Hull",H72,"Comp Software Dev with Study Abroad (4 years)",G603,"4FT Hon BSc"
95,Abroad,5,"The University of Hull",H72,"Computer Science with Study Abroad",G404,"4FT Hon BSc"
96,Abroad,5,"The University of Hull",H72,"Computer Systems Engineering with Study Abroad",H653,"4FT Hon BSc"
97,Abroad,5,"The University of Hull",H72,"Economics (International) (4 years)",L161,"4FT Hon BScEcon"
98,Abroad,5,"The University of Hull",H72,"French and German",RR12,"4FT Hon BA"
99,Abroad,5,"The University of Hull",H72,"French and Italian",RR13,"4FT Hon BA"
100,Abroad,5,"The University of Hull",H72,"French and Spanish",RR14,"4FT Hon BA"
101,Abroad,5,"The University of Hull",H72,"French Studies (4 years)",R110,"4FT Hon BA"
102,Abroad,5,"The University of Hull",H72,"French with Business",R1N1,"4FT Hon BA"
103,Abroad,5,"The University of Hull",H72,"French with Gender Studies",R1L3,"4FT Hon BA"
104,Abroad,5,"The University of Hull",H72,"French with Management",R1N2,"4FT Hon BA"
105,Abroad,5,"The University of Hull",H72,"French with Marketing",R1N5,"4FT Hon BA"
106,Abroad,5,"The University of Hull",H72,"German and Theology/Religion",RV26,"4FT Hon BA"
107,Abroad,5,"The University of Hull",H72,"German with Business",R2N1,"4FT Hon BA"
108,Abroad,5,"The University of Hull",H72,"German with Management",R2N2,"4FT Hon BA"
109,Abroad,5,"The University of Hull",H72,"German with Marketing",R2N5,"4FT Hon BA"
110,Abroad,5,"The University of Hull",H72,"International Business (International) (4 years)",N123,"4FT Hon BA"
111,Abroad,5,"The University of Hull",H72,"Italian with Business",R3N1,"4FT Hon BA"
112,Abroad,5,"The University of Hull",H72,"Italian with Management",R3N2,"4FT Hon BA"
113,Abroad,5,"The University of Hull",H72,"Italian with Marketing",R3N5,"4FT Hon BA"
114,Abroad,5,"The University of Hull",H72,"Sociology & Anthropology with Spanish",L3R4,"4FT Hon BA"
115,Abroad,5,"The University of Hull",H72,"Spanish with Business",R4N1,"4FT Hon BA"
116,Abroad,5,"The University of Hull",H72,"Spanish with Management",R4N2,"4FT Hon BA"
117,Abroad,5,"The University of Hull",H72,"Spanish with Marketing",R4N5,"4FT Hon BA"
118,Abroad,5,"Imperial College London",I50,"Aeronautical Engineering with a Year Abroad",H410,"4FT Hon MEng"
119,Abroad,5,"Imperial College London",I50,"Biochemistry with Research Abroad",C702,"4FT Hon BSc"
120,Abroad,5,"Imperial College London",I50,"Biotechnology with Research Abroad",J701,"4FT Hon BSc"
121,Abroad,5,"Imperial College London",I50,"Chemical Engineering with a Year Abroad",H802,"4FT Hon MEng"
122,Abroad,5,"Imperial College London",I50,"Chemistry with Research Abroad",F104,"4FT Hon MSci"
123,Abroad,5,"Imperial College London",I50,"Civil Engineering with a Year Abroad",H202,"4FT Hon MEng"
124,Abroad,5,"Imperial College London",I50,"Electrical & Electronic Eng with a Yr Abroad",H601,"4FT Hon MEng"
125,Abroad,5,"Imperial College London",I50,"Geology with a Year Abroad",F601,"4FT Hon MSci"
126,Abroad,5,"Imperial College London",I50,"Information Systems Eng with a Year Abroad",HG6M,"4FT Hon MEng"
127,Abroad,5,"Imperial College London",I50,"Materials with a Year Abroad",J526,"4FT Hon BEng"
128,Abroad,5,"Imperial College London",I50,"Materials with Management and a Year Abroad",J5NF,"4FT Hon BEng"
129,Abroad,5,"Imperial College London",I50,"Mechanical Engineering with a Year Abroad",H304,"4FT Hon MEng"
130,Abroad,5,"The University of Kent",K24,"Astronomy, Space Sci & Astrophysics & Yr in USA",F591,"4FT Hon MPhys"
131,Abroad,5,"The University of Kent",K24,"English & American Lit and C. Write (Yr Abroad)",Q325,"3FT Hon BA"
132,Abroad,5,"The University of Kent",K24,"English & American Lit with App Yr Abroad (4 yr)",Q301,"4FT Hon BA"
133,Abroad,5,"The University of Kent",K24,"English, American & Postcol Lit & Appved Yr Abr",Q303,"4FT Hon BA"
134,Abroad,5,"The University of Kent",K24,"European History with a Year Abroad (4 years)",V221,"4FT Hon BA"
135,Abroad,5,"The University of Kent",K24,"Philosophy with an Approved Year Abroad",V501,"4FT Hon BA"
136,Abroad,5,"King's College London (University of London)",K60,"American Studies with a year Abroad (4 years)",T701,"4FT Hon BA"
137,Abroad,5,"King's College London (University of London)",K60,"Computer Science w Mgt and a Year Abroad (4 yrs)",G4NF,"4FT Hon BSc"
138,Abroad,5,"King's College London (University of London)",K60,"Computer Science with a year Abroad (4 years)",G401,"4FT Hon BSc"
139,Abroad,5,"King's College London (University of London)",K60,"Film and American Studies with a year Abroad",PT37,"4FT Hon BA"
140,Abroad,5,"King's College London (University of London)",K60,"Physics and Philosophy (with a year abroad)",FVH5,"4FT Hon BSc"
141,Abroad,5,"King's College London (University of London)",K60,"Physics with a year Abroad (4 years)",F305,"4FT Hon BSc"
142,Abroad,5,"Kingston University",K84,"Business with Law with year abroad (4 years)",N1MD,"4FT Hon BA"
143,Abroad,5,"Lancaster University",L14,"Engineering (Study Abroad)",H101,"3FT Hon BEng"
144,Abroad,5,"Lancaster University",L14,"English Language (Study Abroad)",Q310,"3FT Hon BA"
145,Abroad,5,"Lancaster University",L14,"English Language in the Media (Study Abroad)",QP3H,"3FT Hon BA"
146,Abroad,5,"Lancaster University",L14,"Environmental Science (Study Abroad)",F754,"3FT Hon BSc"
147,Abroad,5,"Lancaster University",L14,"Linguistics (Study Abroad)",Q102,"3FT Hon BA"
148,Abroad,5,"Lancaster University",L14,"Sociolinguistics (Study Abroad)",Q141,"3FT Hon BA"
149,Abroad,5,"University of Leicester",L34,"American Studies with a year in USA (4 years)",T701,"4FT Hon BA"
150,Abroad,5,"University of Leicester",L34,"Applied and Environmental Geology (4 years)",F611,"4FT Hon MGeol"
151,Abroad,5,"University of Leicester",L34,"Electrical & Electronic Engineering (USA) (4yrs)",H603,"4FT Hon MEng"
152,Abroad,5,"University of Leicester",L34,"General Engineering (USA)",H103,"3FT Hon BEng"
153,Abroad,5,"University of Leicester",L34,"General Engineering (USA) (4 years)",H104,"4FT Hon MEng"
154,Abroad,5,"University of Leicester",L34,"General Engineering/USA with Industry (4 years)",H109,"4FT Hon BEng"
155,Abroad,5,"University of Leicester",L34,"General Engineering/USA with Industry (5 years)",H108,"5FT Hon MEng"
156,Abroad,5,"University of Leicester",L34,"Geology (4 years)",F601,"4FT Hon MGeol"
157,Abroad,5,"University of Leicester",L34,"Geology with Geophysics (4 years)",F661,"4FT Hon MGeol"
158,Abroad,5,"University of Leicester",L34,"Geology with Palaeobiology (4 years)",F6CC,"4FT Hon MGeol"
159,Abroad,5,"University of Leicester",L34,"Mathematics (Europe) (4 years)",G101,"4FT Hon BSc"
160,Abroad,5,"University of Leicester",L34,"Mathematics (USA)",G103,"3FT Hon BSc"
161,Abroad,5,"University of Leicester",L34,"Mathematics (USA) (4 years)",G107,"4FT Hon MMath"
162,Abroad,5,"University of Leicester",L34,"Mechanical Engineering (USA)",H301,"3FT Hon BEng"
163,Abroad,5,"University of Leicester",L34,"Mechanical Engineering (USA) (4 years)",H307,"4FT Hon MEng"
164,Abroad,5,"University of Leicester",L34,"Mechanical/USA with Industry (4 years)",H308,"4FT Hon BEng"
165,Abroad,5,"University of Leicester",L34,"Mechanical/USA with Industry (5 years)",H309,"5FT Hon MEng"
166,Abroad,5,"University of Leicester",L34,"Modern Language Studies with a yr in Europe",T901,"4FT Hon BA"
167,Abroad,5,"University of Leicester",L34,"Modern Languages with Film Studies (4 years)",R8P3,"4FT Hon BA"
168,Abroad,5,"University of Leicester",L34,"Modern Languages with History of Art (4 years)",R8V3,"4FT Hon BA"
169,Abroad,5,"University of Leicester",L34,"Modern Languages with Management (4 years)",R9NF,"4FT Hon BA"
170,Abroad,5,"The University of Nottingham",N84,"Electrical & Electronic Eng with a Year Abroad",H605,"4FT Hon MEng"
171,Abroad,5,"The University of Nottingham",N84,"Electrical & Electronic Eng with a Year Abroad",H606,"3FT Hon BEng"
172,Abroad,5,"Queen Mary, University of London",Q50,"Physics with Study Abroad",F304,"3FT Hon BSc"
173,Abroad,5,"Queen Mary, University of London",Q50,"Physics with Study Abroad",F305,"4FT Hon MSci"
174,Abroad,5,"Royal Holloway, University of London",R72,"History with an International Year (4 Years)",V101,"4FT Hon BA"
175,Abroad,5,"The University of Sheffield",S18,"Biology with a Year Abroad (3 years)",C101,"3FT Hon BSc"
176,Abroad,5,"The University of Sheffield",S18,"Mathematics with Study Abroad",G106,"4FT Hon MMath"
177,Abroad,5,"University of Southampton",S27,"Master of Marine Biology with study abroad",F704,"4FT Hon MMarBio"
178,Abroad,5,"University of Southampton",S27,"Particle Physics (with a Year Abroad)",F370,"4FT Hon MPhys"
179,Abroad,5,"University of Southampton",S27,"Physics with Astronomy (year abroad)",F3FN,"4FT Hon MPhys"
180,Abroad,5,"University of St Andrews",S36,"Ancient History-French with Year Abroad",RV1D,"5FT Hon MA"
181,Abroad,5,"University of St Andrews",S36,"Ancient History-German with Year Abroad",RVF1,"5FT Hon MA"
182,Abroad,5,"University of St Andrews",S36,"Ancient History-Italian with Year Abroad",RVHD,"5FT Hon MA"
183,Abroad,5,"University of St Andrews",S36,"Ancient History-Spanish with Year Abroad",RVL1,"5FT Hon MA"
184,Abroad,5,"University of St Andrews",S36,"Arabic-French with Year Abroad",RTC6,"5FT Hon MA"
185,Abroad,5,"University of St Andrews",S36,"Arabic-German with Year Abroad",RTF6,"5FT Hon MA"
186,Abroad,5,"University of St Andrews",S36,"Arabic-Italian with Integrated Year Abroad",RTH6,"5FT Ord MA"
187,Abroad,5,"University of St Andrews",S36,"Arabic-Spanish with Year Abroad",RTK6,"5FT Hon MA"
188,Abroad,5,"University of St Andrews",S36,"Art History-French with Year Abroad",RVC3,"5FT Hon MA"
189,Abroad,5,"University of St Andrews",S36,"Art History-German with Year Abroad",RVF3,"5FT Hon MA"
190,Abroad,5,"University of St Andrews",S36,"Art History-Italian with Year Abroad",RVH3,"5FT Hon MA"
191,Abroad,5,"University of St Andrews",S36,"Art History-Russian with Year Abroad",RVR3,"5FT Hon MA"
192,Abroad,5,"University of St Andrews",S36,"Art History-Spanish with Year Abroad",RVK3,"5FT Hon MA"
193,Abroad,5,"University of St Andrews",S36,"Biblical Studies-French with Year Abroad",RVC6,"5FT Hon MA"
194,Abroad,5,"University of St Andrews",S36,"Biblical Studies-German with Year Abroad",RVFP,"5FT Hon MA"
195,Abroad,5,"University of St Andrews",S36,"Classical Studies-French with Year Abroad",RQC8,"5FT Hon MA"
196,Abroad,5,"University of St Andrews",S36,"Classical Studies-Italian with Year Abroad",RQJ8,"5FT Hon MA"
197,Abroad,5,"University of St Andrews",S36,"Classics-French (with Integrated Year Abroad)",QR8C,"5FT Hon MA"
198,Abroad,5,"University of St Andrews",S36,"Classics-Italian with Year Abroad",RQH8,"5FT Hon MA"
199,Abroad,5,"University of St Andrews",S36,"Economics with German (Integrated yr abroad)",L1RF,"5FT Hon MA"
200,Abroad,5,"University of St Andrews",S36,"Economics with Russian (with Integ Yr Abroad)",L1RR,"5FT Hon MA"
